name,classes,relations
ACG,70,29
ACME,16,8
ADELFE,19,14
ASM,0,0
ATL,28,33
ATOM,0,0
AWKPrograms,0,0
AbstractSyntaxStereotypesUML1.4,0,0
Agate,69,76
Amble,0,0
Ant,48,18
AntScripts,10,4
AnyLogic,18,16
Architectural_Description,6,6
AsmL,68,50
Automaton,3,4
BIBTEXML,28,4
BMM,31,31
BPMN,0,0
BQL,6,4
BibTeX,0,0
BibTeX1.1,21,2
Book,0,0
Bossa,114,80
Bugzilla,0,0
BusinessEntityModel,10,5
BusinessProcessModel,26,12
C,0,0
CADM,26,44
CDE,9,2
CFG,4,3
CML,0,0
COBOL,12,9
CORBAComponent,14,14
CPL,32,12
CPP,0,0
CPR,0,0
CSM,21,13
CSharp,10,8
LQN,0,0
LaTeX,30,24
M,0,0
METAH,14,7
MSOfficeExcel_SpreadsheetMLBasicDef,24,22
MSOfficeExcel_SpreadsheetMLPrintingSetup,33,35
MSOfficeExcel_SpreadsheetMLSimplified,0,0
MSOfficeExcel_SpreadsheetMLStyles,44,52
MSOfficeExcel_SpreadsheetMLWorkbookProp,0,0
MSOfficeExcel_SpreadsheetMLWorksheetOpt,26,26
MSOfficeWord_WordprocessingMLBasicDef,59,30
MSOfficeWord_WordprocessingMLSimplified,0,0
MSOfficeWord_WordprocessingMLStyles,74,65
MSOfficeWord_WordprocessingMLTableElts,69,47
MSProject,3,2
MSProject2,0,0
MSVisio_DatadiagramMLBasicDef,58,70
MSVisio_DatadiagramMLSimplified,40,43
MSVisio_DatadiagramMLTextFormat,71,97
MSVisio_DatadiagramMLXForm,74,107
MTRANS,9,13
Make,9,4
Mantis,10,10
Marte,0,0
Matlab,0,0
Maude,45,33
MavenMaven,58,23
MavenProject,7,3
Metrics,0,0
MiningMart,0,0
MiningMart_SimplifiedMetamodel,15,3
MiningMart_ViewCaseRepresentation,0,0
MiningMart_ViewDataRepresentation,6,3
MoDAF-AV,0,0
MoMM,0,0
MonitorProgram,24,18
MySQL,0,0
News,5,4
OCCAM,21,15
OCL_Expressions,15,11
OCL_Operations,14,10
OCL_Types,16,7
OCL_Values,17,10
ODP-CV,35,34
ODP-EV,34,46
ODP-IV,11,19
ODP-NV,28,29
ODP-TV,4,4
OWL,24,35
OpenQVT,20,12
PDG,4,5
PIF,14,0
PL1,16,12
PNML_basic,30,38
PNML_modular,40,55
PNML_simplified,13,8
PNML_structured,35,44
PRR,0,0
Parameters,0,0
Pascal,16,14
PathExp,0,0
Perceptory,0,0
Person,1,0
PetriNet,0,0
PetriNet_extended,13,14
PluginEclipse,12,10
ProMarte,108,98
Problem,0,0
Program,24,18
Promenade,0,0
PtolemyII,0,0
Publication,1,0
QVT,4,6
QVT_SimpleRDBMS,6,9
QVT_SimpleUML,8,8
QoS,0,0
QoS_Characteristic,12,6
QoS_Profile,0,0
QoS_Statement,7,4
R2ML,0,0
RDFS,20,24
RSS-2.0,10,11
Relational,0,0
RelationalDBContent,5,4
RelationalDBSchema,4,4
Repository,0,0
Reqtify,11,8
RequisitePro,10,6
SBVRvoc,53,42
SCADE,106,136
SDM,0,0
SEE_Design,12,6
SPEM,0,0
SPL,0,0
SQLDDL,0,0
SQLDML,0,0
SVG,38,16
SWRC,55,44
Scilab,0,0
SecureUML,0,0
SeminarSchedulingSystem,6,8
Sharengo,10,4
SignalFlow,10,12
SimpleAirlineDomain,5,6
SimpleSBVR,33,17
SimulinkStateFlow,15,9
SoftwareQualityControl,6,7
Statecharts,0,0
SyncCharts,15,12
SysML,66,18
Table,0,0
TextualPathExp,5,3
Trace,4,3
TroposActorConcept,7,13
TroposGoalAndPlanConcepts,0,0
TroposIntegratingActorConcept,4,2
UDDI_meta-model_fragment,7,3
UEML,23,20
UEMLExtended,36,34
UEMLExtensionCapturingAgents,29,22
UEMLExtensionCapturingSocialEffects,29,28
UEMLExtensionDynamicAspects,27,20
UEMLExtensionModelingAspects,25,23
UIML-3.0,3,3
UMLDI,0,0
UMLDI-ActivityGraphs,12,8
UMLDI-Collaborations,0,0
UMLDI-ModelManagement,8,7
UMLDI-StateMachines,13,9
UMLDI-UseCases,6,10
UMLForOOClassModeling,11,3
UML_UseCases,12,10
UML_metamodel_fragment,13,11
UML_withReuseContracts,9,4
USECASE1,16,18
USECASE2,0,0
UnifiedOntologyLanguage,0,0
UnixFS,0,0
UsiXML-task,5,5
WSDL,14,18
WSLink,0,0
WTIP_SimpleClass,5,3
WTIP_SimpleRDBMS,3,3
WebApplications_AbstractModel,0,0
WebApplications_ConceptualModel,0,0
WfMC,6,15
WikiTable,5,2
WorkDefinitions,9,9
XAML-Perspective,16,8
XAML-ResourceDictionary,15,7
XHTML,146,163
XML,5,2
CWMCore,14,10
CWMRelationalData,0,0
ChocoModel,15,8
Class,0,0
ClassicModels,11,14
Collaborations_Interactions_UML,13,17
CompanyStructure,7,4
ComponentUML,0,0
Contact,3,3
ControllerUML,0,0
Cristal,9,7
DOT,0,0
DSL,0,0
DSLModel,0,0
DSLtools,0,0
DTD,19,5
DTMP,0,0
DXF,3,3
DeploymentReport,37,27
DiagramInterchange,24,20
DoDAF,57,42
DoDAF-OV5,31,33
DoDAF-SV4,43,42
DoDAF-SV5,31,35
DocBook,6,4
DotNET_SystemReflection,0,0
EAI,6,2
EG,13,3
EQN,15,6
EclipseLaunchConfigurations,8,5
EclipsePlugIn,7,9
Extended_UML_Core_Package,19,7
Family,0,0
FeatureDiagrams,6,7
FiniteStateMachine,6,8
FlatSignalFlow,10,16
GAIA,19,13
GUI,14,9
GWPNV0,3,5
GWPNV1,3,5
GWPNV2,5,7
GWPNV3,6,7
GWPNV4,6,7
GWPNV5,7,8
Gantt,10,6
GenericEditor,10,6
GenericOutline,6,4
GeoTrans,0,0
Grafcet,0,0
GraphML,11,8
GraphVizDot,8,2
HAL,0,0
HPROF,11,8
HTML,0,0
HierarchicalSignalFlow,0,0
HierarchicalStateMachine,15,19
HybridAutomata,0,0
IEEE1471ConceptualModel,0,0
IEEE1471ViewpointM2,15,11
IMSTransactionMessage,0,0
IRL,0,0
IntegrationOfOCL_ExpressionsInUML,0,0
J2SE5,82,85
JAVA3,11,10
Java-20040316,9,6
JavaAbstractSyntax,0,0
JavaProject,10,6
JavaSource,5,4
Jess,40,43
KDM,0,0
KDMSimplified,14,15
KM3,0,0
KML,0,0
Klaper,16,15
XMorphLanguage_abstractSyntax,0,0
XPDL-1.14,0,0
XQuery,18,17
XSLT,0,0
XSchema,0,0
XUL-Interactorl,33,11
bmmOmg,0,0
deployment,5,3
ebXML,24,20
ifc2x3,0,0
sbvrEclipse,332,185
sbvrOMG,193,46
useCase,8,5
vb,0,0
yUML,16,8
